fips_code,county_name,heart_disease_deathrate_per_100000
8061,"""Kiowa, (CO)""",405.1
8063,"""Kit Carson, (CO)""",381.8
8065,"""Lake, (CO)""",309.8
8067,"""La Plata, (CO)""",310.0
8069,"""Larimer, (CO)""",339.0
8071,"""Las Animas, (CO)""",410.5
8073,"""Lincoln, (CO)""",341.0
8075,"""Logan, (CO)""",371.6
8077,"""Mesa, (CO)""",408.2
8079,"""Mineral, (CO)""",391.6
8081,"""Moffat, (CO)""",402.0
8083,"""Montezuma, (CO)""",379.0
8085,"""Montrose, (CO)""",416.4
8087,"""Morgan, (CO)""",373.9
8089,"""Otero, (CO)""",424.9
8091,"""Ouray, (CO)""",355.2
8093,"""Park, (CO)""",277.3
8095,"""Phillips, (CO)""",358.1
8097,"""Pitkin, (CO)""",210.3
8099,"""Prowers, (CO)""",406.2
8101,"""Pueblo, (CO)""",396.4
8103,"""Rio Blanco, (CO)""",300.3
8105,"""Rio Grande, (CO)""",503.4
8107,"""Routt, (CO)""",267.4
8109,"""Saguache, (CO)""",331.7
8111,"""San Juan, (CO)""",345.9
8113,"""San Miguel, (CO)""",316.9
8115,"""Sedgwick, (CO)""",376.7
8117,"""Summit, (CO)""",190.6
8119,"""Teller, (CO)""",350.1
8121,"""Washington, (CO)""",351.4
8123,"""Weld, (CO)""",368.4
8125,"""Yuma, (CO)""",361.4
9001,"""Fairfield, (CT)""",357.1
9003,"""Hartford, (CT)""",392.1
9005,"""Litchfield, (CT)""",415.0
9007,"""Middlesex, (CT)""",366.6
9009,"""New Haven, (CT)""",371.6
9011,"""New London, (CT)""",402.9
9013,"""Tolland, (CT)""",403.9
9015,"""Windham, (CT)""",432.9
10001,"""Kent, (DE)""",484.0
10003,"""New Castle, (DE)""",418.1
10005,"""Sussex, (DE)""",444.9
11001,"""District of Columbia, (DC)""",505.6
12001,"""Alachua, (FL)""",389.6
12003,"""Baker, (FL)""",531.9
12005,"""Bay, (FL)""",478.0
12007,"""Bradford, (FL)""",456.7
12009,"""Brevard, (FL)""",402.4
12011,"""Broward, (FL)""",403.8
12013,"""Calhoun, (FL)""",497.7
12015,"""Charlotte, (FL)""",345.8
12017,"""Citrus, (FL)""",512.1
12019,"""Clay, (FL)""",465.1
12021,"""Collier, (FL)""",280.6
12023,"""Columbia, (FL)""",509.3
12027,"""DeSoto, (FL)""",404.4
12029,"""Dixie, (FL)""",499.5
12031,"""Duval, (FL)""",492.4
12033,"""Escambia, (FL)""",501.3
12035,"""Flagler, (FL)""",341.1
12037,"""Franklin, (FL)""",461.9
12039,"""Gadsden, (FL)""",490.1
12041,"""Gilchrist, (FL)""",453.0
12043,"""Glades, (FL)""",345.7
12045,"""Gulf, (FL)""",478.0
12047,"""Hamilton, (FL)""",514.2
12049,"""Hardee, (FL)""",402.4
12051,"""Hendry, (FL)""",415.1
12053,"""Hernando, (FL)""",411.6
12055,"""Highlands, (FL)""",378.5
12057,"""Hillsborough, (FL)""",424.4
12059,"""Holmes, (FL)""",709.1
12061,"""Indian River, (FL)""",335.0
12063,"""Jackson, (FL)""",551.2
12065,"""Jefferson, (FL)""",451.9
12067,"""Lafayette, (FL)""",515.7
12069,"""Lake, (FL)""",380.8
12071,"""Lee, (FL)""",332.5
12073,"""Leon, (FL)""",417.0
12075,"""Levy, (FL)""",484.5
12077,"""Liberty, (FL)""",491.8
12079,"""Madison, (FL)""",624.7
12081,"""Manatee, (FL)""",382.6
12083,"""Marion, (FL)""",433.8
12085,"""Martin, (FL)""",284.8
12086,"""Miami-Dade, (FL)""",395.1
12087,"""Monroe, (FL)""",338.6
12089,"""Nassau, (FL)""",412.8
12091,"""Okaloosa, (FL)""",408.6
12093,"""Okeechobee, (FL)""",486.3
12095,"""Orange, (FL)""",398.0
12097,"""Osceola, (FL)""",454.6
12099,"""Palm Beach, (FL)""",342.4
12101,"""Pasco, (FL)""",401.9
12103,"""Pinellas, (FL)""",379.4
12105,"""Polk, (FL)""",440.9
12107,"""Putnam, (FL)""",468.6
12109,"""St. Johns, (FL)""",312.6
12111,"""St. Lucie, (FL)""",367.6
12113,"""Santa Rosa, (FL)""",444.7
12115,"""Sarasota, (FL)""",314.0
12117,"""Seminole, (FL)""",361.6
12119,"""Sumter, (FL)""",352.1
12121,"""Suwannee, (FL)""",514.9
12123,"""Taylor, (FL)""",531.5
12125,"""Union, (FL)""",606.2
12127,"""Volusia, (FL)""",422.2
12129,"""Wakulla, (FL)""",429.8
