fips_code,total_population,male,female,median_age,white_pop,african_american_pop,american_indian_pop,asian_pop,hawaiian_islander_pop,other_pop,hispanic_pop
8099,12539,6210,6329,36.7,11707,38,72,52,0,379,12539
8101,159072,78226,80846,38.8,130563,3148,3020,1035,134,14625,159072
8103,6728,3480,3248,36.8,6406,48,103,22,0,46,6728
8105,11925,5875,6050,41.8,9541,69,300,37,2,1612,11925
8107,23385,12354,11031,39.4,22494,91,72,273,0,178,23385
8109,6189,3159,3030,43.8,5010,29,91,13,4,644,6189
8111,747,456,291,37.9,709,0,4,7,0,15,747
8113,7432,3934,3498,38.2,7181,15,29,118,0,16,7432
8115,2389,1182,1207,47.9,2291,6,2,13,5,28,2389
8117,27753,15155,12598,36.3,25241,164,214,276,82,1504,27753
8119,23163,11955,11208,47.4,21938,191,187,216,21,263,23163
8121,4796,2493,2303,44.2,4643,20,48,10,0,30,4796
8123,253552,127009,126543,33.2,225338,2197,2286,3274,100,13473,253552
8125,10032,4901,5131,36.3,9529,15,22,14,0,204,10032
9001,918892,446935,471957,39.5,699870,99871,1439,42880,323,56527,918892
9003,893504,432005,461499,39.9,654726,117181,2327,38823,397,55599,893504
9005,189277,93098,96179,44.4,178558,2229,507,3099,8,1776,189277
9007,165639,80893,84746,43.0,147872,7618,126,4430,82,2094,165639
9009,860995,414726,446269,39.1,649827,107283,2188,30743,416,49374,860995
9011,273723,136457,137266,40.3,226453,14834,1472,11859,188,8268,273723
9013,152137,76843,75294,38.3,136874,4411,135,5101,14,1758,152137
9015,118046,58565,59481,39.4,108037,2233,337,1420,44,2864,118046
10001,162785,78526,84259,36.6,112428,39023,899,3380,141,1882,162785
10003,539665,261385,278280,37.0,363926,128385,1280,23762,223,10510,539665
10005,197681,96427,101254,45.4,157905,25221,698,2035,13,7504,197681
11001,605759,286427,319332,33.9,239413,309263,2143,21440,312,20652,605759
12001,247973,120112,127861,30.1,174623,49795,570,13354,180,2756,247973
12003,27010,14061,12949,35.9,22683,3786,24,142,0,76,27010
12005,168957,83632,85325,39.3,139352,17810,870,3357,130,598,168957
12007,28404,16146,12258,38.7,21868,5856,84,90,0,16,28404
12009,544019,266383,277636,45.5,455284,54218,1477,11054,426,7423,544019
12011,1761993,854675,907318,39.7,1123976,470059,3853,58197,1233,60242,1761993
12013,14639,7822,6817,40.1,11805,2239,203,27,0,183,14639
12015,160380,78022,82358,55.9,145582,8984,335,1921,14,977,160380
12017,140805,68178,72627,54.2,131442,4113,442,2039,18,832,140805
12019,190891,93518,97373,38.2,158179,19132,689,5603,43,1833,190891
12021,323548,159728,163820,47.1,282480,21477,730,3813,60,10670,323548
12023,67546,34914,32632,40.0,52458,11882,309,394,0,795,67546
12027,34628,19562,15066,38.5,27958,4509,39,180,18,1452,34628
12029,16301,8502,7799,44.9,14248,1532,39,46,0,24,16301
12031,866431,420333,446098,35.7,535374,254680,2616,36377,670,12109,866431
12033,298864,147848,151016,37.5,207451,66734,1729,8539,549,2446,298864
12035,95987,46100,49887,47.7,77586,11032,195,2003,101,2881,95987
12037,11545,6684,4861,42.3,9528,1724,16,151,2,59,11545
12039,46823,23112,23711,38.9,17330,26009,135,208,0,2356,46823
12041,16880,8868,8012,39.7,15511,935,38,88,0,72,16880
12043,12952,7240,5712,43.4,10183,1511,502,244,0,497,12952
12045,15796,9026,6770,43.8,12293,2928,91,140,0,134,15796
