naics,fips_code,liquor_store_count
445310,12039,5
445310,12043,1
445310,12045,3
445310,12047,3
445310,12051,1
445310,12053,11
445310,12055,3
445310,12057,77
445310,12059,5
445310,12061,10
445310,12063,4
445310,12065,2
445310,12069,16
445310,12071,35
445310,12073,18
445310,12075,6
445310,12081,18
445310,12083,13
445310,12085,10
445310,12086,215
445310,12087,15
445310,12089,4
445310,12091,24
445310,12093,5
445310,12095,76
445310,12097,21
445310,12099,100
445310,12101,32
445310,12103,60
445310,12105,36
445310,12107,4
445310,12109,17
445310,12111,26
445310,12113,8
445310,12115,37
445310,12117,29
445310,12119,3
445310,12121,1
445310,12123,3
445310,12125,1
445310,12127,37
445310,12129,4
445310,12131,10
445310,13001,3
445310,13003,1
445310,13007,1
445310,13009,6
445310,13013,8
445310,13015,7
445310,13017,3
445310,13019,3
445310,13021,27
445310,13023,1
445310,13029,4
445310,13031,1
445310,13033,1
445310,13039,4
445310,13043,3
445310,13045,4
445310,13047,1
445310,13051,45
445310,13057,8
445310,13059,14
445310,13063,11
445310,13067,62
445310,13069,3
445310,13071,4
445310,13073,15
445310,13079,1
445310,13081,4
445310,13085,3
445310,13087,2
445310,13089,89
445310,13095,14
445310,13097,9
445310,13099,1
445310,13105,2
445310,13107,2
445310,13109,1
445310,13113,9
445310,13115,14
445310,13117,19
445310,13119,4
445310,13121,98
445310,13123,2
445310,13127,19
445310,13129,5
445310,13131,2
445310,13133,4
445310,13135,23
445310,13137,1
445310,13139,18
445310,13141,1
445310,13143,1
445310,13145,1
445310,13151,10
445310,13153,18
445310,13155,1
445310,13157,3
445310,13163,1
445310,13167,2
445310,13171,1
445310,13173,2
445310,13175,11
445310,13179,4
445310,13185,10
445310,13189,3
445310,13191,3
445310,13193,4
445310,13197,1
445310,13199,3
445310,13201,1
445310,13205,1
445310,13207,2
445310,13211,3
445310,13215,35
445310,13217,6
445310,13223,4
445310,13225,4
445310,13227,3
445310,13229,1
445310,13231,1
445310,13233,2
445310,13235,3
445310,13237,2
445310,13241,3
445310,13245,21
445310,13247,6
445310,13251,3
445310,13253,2
445310,13255,13
445310,13257,2
445310,13261,3
445310,13263,1
445310,13267,1
445310,13269,2
445310,13271,2
445310,13273,2
445310,13275,5
445310,13279,3
445310,13285,6
445310,13293,1
445310,13295,2
445310,13297,2
445310,13299,7
445310,13303,3
445310,13305,5
445310,13311,3
445310,13313,8
445310,13317,2
445310,13321,1
445310,15001,3
445310,15003,43
445310,15007,3
445310,15009,4
445310,16001,24
445310,16005,6
445310,16009,2
445310,16011,1
445310,16013,3
445310,16017,4
445310,16019,5
445310,16021,2
445310,16027,7
445310,16029,1
445310,16031,1
445310,16035,1
445310,16039,1
445310,16041,1
445310,16045,1
445310,16049,1
445310,16053,2
445310,16055,14
445310,16057,4
445310,16059,1
445310,16067,1
445310,16069,2
445310,16075,1
445310,16079,2
445310,16081,1
445310,16083,5
445310,16085,2
445310,16087,2
445310,17003,3
445310,17007,4
445310,17011,3
445310,17013,1
445310,17015,1
445310,17017,2
445310,17019,20
445310,17021,2
445310,17023,2
445310,17025,2
445310,17027,1
445310,17029,6
445310,17031,617
445310,17033,3
445310,17035,1
445310,17037,8
445310,17039,1
445310,17041,1
445310,17043,101
445310,17045,2
445310,17047,1
445310,17049,9
445310,17051,2
445310,17053,2
445310,17055,4
445310,17057,3
445310,17059,1
445310,17063,8
445310,17065,2
445310,17069,1
445310,17073,3
445310,17075,4
445310,17077,9
445310,17079,1
445310,17081,5
445310,17083,5
445310,17085,4
445310,17089,56
445310,17091,13
445310,17093,5
445310,17095,3
445310,17097,76
445310,17099,11
