naics,fips_code,unions_count
813930,12119,1
813930,12123,1
813930,12127,15
813930,12133,2
813930,13009,1
813930,13013,1
813930,13015,1
813930,13017,1
813930,13021,10
813930,13033,2
813930,13039,7
813930,13047,2
813930,13051,20
813930,13059,4
813930,13063,5
813930,13067,13
813930,13069,1
813930,13073,3
813930,13077,1
813930,13087,1
813930,13089,14
813930,13091,1
813930,13095,8
813930,13097,2
813930,13099,2
813930,13103,1
813930,13113,2
813930,13115,4
813930,13121,42
813930,13127,6
813930,13135,5
813930,13139,2
813930,13151,3
813930,13153,2
813930,13155,1
813930,13157,1
813930,13159,1
813930,13169,1
813930,13171,1
813930,13179,5
813930,13183,1
813930,13185,5
813930,13215,5
813930,13217,2
813930,13223,2
813930,13229,2
813930,13233,3
813930,13245,14
813930,13249,1
813930,13255,1
813930,13261,1
813930,13275,1
813930,13281,1
813930,13295,1
813930,13299,3
813930,13303,1
813930,13305,1
813930,13313,1
813930,13319,1
813930,15001,9
813930,15003,61
813930,15007,5
813930,15009,7
813930,16001,22
813930,16005,14
813930,16011,1
813930,16019,7
813930,16027,4
813930,16047,1
813930,16051,1
813930,16055,5
813930,16069,4
813930,16075,1
813930,16079,1
813930,16083,2
813930,17001,9
813930,17003,2
813930,17005,1
813930,17007,4
813930,17009,1
813930,17011,4
813930,17015,2
813930,17017,1
813930,17019,21
813930,17021,2
813930,17023,1
813930,17027,4
813930,17029,4
813930,17031,261
813930,17033,3
813930,17037,3
813930,17043,69
813930,17045,1
813930,17049,1
813930,17051,1
813930,17055,5
813930,17057,4
813930,17059,1
813930,17065,2
813930,17067,2
813930,17077,5
813930,17079,1
813930,17081,4
813930,17085,2
813930,17087,2
813930,17089,36
813930,17091,13
813930,17095,9
813930,17097,18
813930,17099,13
813930,17101,1
813930,17103,6
813930,17105,4
813930,17107,3
813930,17111,7
813930,17113,15
813930,17115,24
813930,17117,4
813930,17119,46
813930,17121,5
813930,17127,4
813930,17133,2
813930,17135,3
813930,17137,4
813930,17141,6
813930,17143,29
813930,17145,6
813930,17155,3
813930,17157,3
813930,17161,31
813930,17163,37
813930,17165,3
813930,17167,53
813930,17169,1
813930,17177,2
813930,17179,14
813930,17181,1
813930,17183,14
813930,17191,1
813930,17193,1
813930,17197,36
813930,17199,8
813930,17201,28
813930,17203,1
813930,18001,1
813930,18003,38
813930,18005,8
813930,18009,1
813930,18015,1
813930,18017,2
813930,18019,4
813930,18021,2
813930,18023,1
813930,18029,6
813930,18033,6
813930,18035,15
813930,18037,2
813930,18039,14
813930,18041,3
813930,18043,4
813930,18047,1
813930,18049,1
813930,18051,1
813930,18053,6
813930,18055,1
813930,18057,6
813930,18059,4
813930,18061,1
813930,18063,1
813930,18065,2
813930,18067,11
813930,18069,5
813930,18071,1
813930,18073,3
813930,18075,3
