fips_code,median_household_income
13179,41922
13181,36396
13183,39176
13185,36920
13187,44289
13189,36331
13191,37040
13193,28654
13195,40209
13197,33633
13199,35312
13201,32262
13205,30020
13207,50594
13209,33983
13211,46445
13213,35918
13215,43264
13217,48780
13219,75532
13221,42992
13223,59621
13225,39726
13227,50131
13229,38777
13231,51781
13233,37815
13235,35847
13237,40644
13239,28675
13241,37684
13243,28497
13245,36490
13247,50699
13249,39105
13251,33508
13253,31785
13255,35761
13257,34384
13259,27009
13261,32590
13263,30909
13265,27124
13267,37818
13269,30266
13271,27655
13273,31095
13275,35909
13277,33716
13279,31820
13281,37826
13283,32063
13285,38598
13287,26408
13289,36549
13291,38334
13293,34395
13295,36628
13297,52737
13299,33017
13301,30063
13303,33068
13305,37957
13307,32789
13309,27514
13311,41283
13313,39860
13315,31241
13317,31957
13319,36219
13321,35815
15001,49048
15003,70779
15007,55614
15009,59281
16001,54337
16003,34207
16005,42993
16007,42134
16009,40069
16011,46816
16013,59910
16015,48986
16017,39720
16019,50347
16021,38257
16023,43611
16025,48621
16027,41700
16029,55010
16031,42155
16033,44997
16035,38980
16037,44309
16039,42391
16041,46607
16043,41629
16045,40399
16047,39809
16049,36365
16051,50080
16053,43384
16055,46886
16057,40873
16059,36797
16061,40035
16063,42224
16065,37565
16067,42978
16069,45155
16071,44628
16073,38197
16075,41314
16077,40713
16079,37294
16081,54231
16083,41499
16085,46314
16087,36767
17001,46038
17003,28933
17005,46639
17007,60433
17009,46481
17011,48005
17013,47131
17015,47376
17017,44651
17019,46708
17021,43393
17023,47404
17025,40573
17027,60498
17029,36093
17031,52160
17033,44363
17035,44384
17037,50502
17039,51794
17041,52758
17043,78131
17045,42645
17047,43124
17049,51319
17051,41997
17053,48652
17055,38992
17057,41899
17059,38126
17061,41576
17063,63167
17065,42673
17067,45183
17069,36576
17071,47047
17073,53998
17075,47201
17077,31900
17079,48726
17081,40596
17083,52049
17085,49671
17087,43237
17089,64870
17091,50985
17093,84816
17095,40973
17097,74459
17099,49431
17101,39474
17103,50304
17105,55150
17107,47111
17109,40487
17111,76417
17113,62129
17115,44889
17117,48349
17119,51736
17121,40890
17123,53100
17125,45314
17127,40837
17129,62001
17131,52503
17133,72265
17135,45365
17137,47514
17139,50859
17141,52976
17143,47310
17145,40877
17147,63656
17149,40087
17151,38588
17153,32510
17155,58776
17157,46817
17159,41667
17161,49875
17163,46921
17165,38056
17167,55386
17169,47766
17171,47541
17173,47428
17175,48225
17177,45907
17179,60403
17181,41054
17183,40709
17185,46323
17187,43045
17189,54564
17191,43662
17193,42911
17195,45818
17197,72395
17199,41033
17201,49060
17203,69806
18001,42944
18003,48795
18005,53475
18007,48692
18009,38927
18011,69919
18013,49837
18015,51038
18017,40809
18019,49164
18021,44230
18023,47748
18025,39534
18027,44689
18029,57465
18031,47387
18033,48116
18035,37339
18037,53814
18039,45806
18041,39998
18043,53367
18045,47905
18047,45992
18049,44300
18051,49320
18053,39151
18055,42684
18057,88429
18059,66131
18061,50704
18063,70886
18065,41565
18067,42148
18069,43552
18071,46573
18073,54092
18075,42410
18077,43104
18079,46023
18081,61671
18083,41356
18085,50153
18087,47870
18089,48015
18091,46127
18093,39447
18095,42707
18097,41586
18099,46129
18101,44597
18103,43608
18105,39309
18107,45404
18109,52886
18111,50129
18113,44192
18115,49301
18117,38651
18119,41106
18121,41311
18123,42942
18125,44977
18127,63879
18129,61587
18131,41818
18133,47161
18135,40656
18137,48227
18139,44979
18141,45248
18143,40299
18145,49965
18147,55824
18149,41700
18151,46412
18153,41223
18155,42497
18157,43529
18159,53917
18161,44796
18163,41784
18165,42709
18167,40091
18169,45849
18171,53781
18173,60551
18175,41598
18177,35220
18179,49264
18181,48274
18183,52081
19001,46917
19003,42338
19005,45923
19007,38685
19009,47823
19011,59333
19013,48625
19015,51399
19017,60034
19019,54382
19021,45582
19023,51605
19025,47044
19027,50372
19029,44906
19031,57084
19033,43822
19035,48794
19037,48963
19039,44043
19041,48190
19043,44236
19045,46217
19047,48775
19049,73052
19051,42459
19053,37561
19055,54718
19057,42082
19059,51885
19061,50137
19063,44060
19065,43039
19067,43478
19069,51139
19071,50826
19073,46295
19075,57011
19077,49400
19079,51773
19081,49006
19083,48445
19085,50963
19087,45647
19089,48169
19091,51637
19093,51014
19095,55723
19097,45885
19099,51723
19101,40921
19103,52934
19105,52442
19107,44648
19109,51137
19111,41291
19113,57663
19115,48191
19117,45158
19119,54695
19121,59417
19123,48705
19125,55505
19127,51348
19129,56968
19131,50848
19133,44254
19135,45265
19137,46142
19139,53219
19141,49861
19143,46270
19145,45205
19147,47639
19149,58885
19151,45780
19153,57942
19155,49911
19157,50883
19159,40049
19161,46997
19163,53315
19165,53135
19167,61176
19169,51291
19171,47799
19173,44939
19175,42430
19177,42183
19179,41547
19181,63310
19183,53888
19185,39060
19187,42444
19189,49213
19191,49889
19193,43163
19195,48382
19197,47677
20001,37952
20003,42424
20005,43253
20007,47811
20009,43371
20011,37057
20013,42256
20015,58031
20017,42940
20019,35714
20021,39938
20023,40810
20025,43310
20027,47736
20029,40184
20031,50826
20033,42851
20035,37436
20037,35365
20039,40168
20041,47962
20043,44524
20045,48813
20047,44028
20049,34857
20051,45969
20053,48874
20055,46496
20057,46668
20059,48895
20061,46008
20063,47114
20065,45650
20067,53369
20069,55780
20071,50619
20073,41382
20075,43380
20077,41399
20079,49624
20081,53430
20083,51276
20085,50943
20087,55057
20089,34195
20091,73712
20093,50626
20095,49431
20097,42543
20099,36715
20101,51366
20103,59662
20105,42847
20107,43726
20109,45933
20111,39195
20113,53969
20115,45243
20117,44693
20119,50863
20121,64629
20123,46204
20125,39553
20127,42765
20129,52950
20131,50077
20133,40541
20135,49541
20137,42202
20139,46706
20141,39468
20143,48266
20145,43901
20147,43519
20149,56891
20151,47220
20153,44563
20155,43094
20157,39085
20159,44833
20161,43574
20163,41363
20165,40415
20167,36614
20169,45225
20171,51245
20173,47649
20175,47801
20177,48122
20179,50601
20181,39160
20183,40075
20185,43240
20187,53087
20189,53045
20191,49535
20193,48982
20195,46693
20197,54375
20199,49091
20201,43889
20203,48734
20205,36879
20207,32681
20209,37780
21001,31032
21003,37770
21005,54704
21007,41947
21009,37211
21011,31964
21013,25771
21015,66085
21017,39002
21019,40155
21021,42058
21023,41217
21025,25831
21027,40530
21029,56377
21031,37603
21033,36613
21035,37478
21037,54627
21039,41990
21041,40473
21043,35721
21045,28734
21047,37539
21049,45116
21051,22834
21053,26899
21055,35250
21057,27049
21059,44502
21061,36039
21063,28893
21065,29895
21067,46452
21069,34231
21071,31061
21073,46946
21075,28754
21077,43469
21079,42620
21081,46103
21083,39280
21085,35126
21087,32246
21089,43869
21091,50095
21093,48852
21095,27137
21097,38249
21099,31387
21101,41745
21103,45119
21105,39376
21107,40076
21109,27456
21111,45913
21113,47872
21115,35195
21117,53500
21119,29198
21121,27545
21123,40232
21125,35061
21127,32114
21129,25020
21131,27517
21133,32527
21135,28759
21137,33640
21139,39724
21141,38962
21143,40110
21145,42853
21147,23810
21149,39789
21151,40798
21153,28069
21155,39028
21157,43583
21159,28836
21161,36729
21163,48452
21165,28459
21167,41129
21169,29499
21171,28516
21173,38900
21175,30678
21177,38388
21179,46235
21181,36514
21183,38273
21185,77851
21187,40353
21189,22148
21191,46663
21193,32323
21195,33736
21197,31826
21199,32339
21201,36770
21203,30310
21205,35483
21207,28174
21209,63063
21211,56021
21213,41961
21215,65038
21217,34992
21219,37631
21221,42419
21223,43903
21225,41801
21227,42514
21229,39432
21231,28185
21233,41428
21235,29089
21237,25321
21239,58205
22001,36923
22003,36082
22005,65271
22007,41472
22009,32582
22011,44303
22013,31732
22015,52725
22017,40455
22019,44307
22021,34845
22023,50016
22025,31389
22027,32678
22029,29778
22031,38085
22033,47389
22035,24688
22037,42571
22039,31128
22041,28215
22043,37893
22045,42555
22047,39405
22049,36882
22051,45515
22053,37814
22055,48382
22057,49464
22059,42128
22061,36147
22063,52865
22065,23837
22067,28804
22069,33715
22071,33948
22073,36895
22075,49964
22077,41386
22079,41036
22081,33011
22083,33398
22085,37440
22087,40900
22089,55684
22091,33879
22093,46626
22095,47312
22097,34299
22099,41875
22101,37720
22103,58383
22105,36573
22107,26909
22109,48472
22111,35066
22113,45419
22115,43803
22117,30986
22119,36000
22121,47301
22123,32666
22125,50802
22127,35705
23001,43692
23003,37996
23005,55456
23007,36729
23009,45564
23011,45779
23013,46850
23015,50379
23017,41280
23019,41820
23021,35816
23023,51168
23025,38706
23027,39917
23029,36657
23031,52663
24001,38670
24003,87083
24005,62413
24009,87215
24011,48772
24013,79304
24015,62443
24017,89203
24019,41931
24021,80427
24023,41515
24025,76220
24027,108234
24029,49969
24031,94365
24033,69258
24035,79012
24037,85478
24039,34454
24041,61529
24043,52604
24045,50204
24047,55875
24510,39077
25001,58616
25003,46660
25005,53670
25007,56784
25009,67408
25011,54159
25013,48386
25015,58206
25017,81924
25019,70286
25021,80192
25023,72795
25025,50884
25027,62318
26001,37443
26003,38916
26005,50786
26007,37330
26009,42419
26011,37924
26013,38581
26015,55522
26017,44242
26019,42675
26021,43324
26023,43429
26025,40847
26027,44233
26029,44541
26031,37610
26033,40273
26035,32274
26037,59008
26039,37169
26041,42116
26043,42025
26045,55229
26047,49647
26049,40483
26051,37442
26053,34444
26055,51030
26057,42657
26059,40179
26061,35758
26063,40459
26065,43864
26067,50695
26069,34343
26071,34167
26073,38041
26075,43827
26077,45093
26079,40135
26081,50674
26083,39378
26085,30897
26087,51627
26089,54494
26091,48427
26093,75744
26095,38384
26097,36562
26099,52275
26101,39319
26103,44629
26105,40752
26107,39253
26109,38157
26111,53208
26113,40917
26115,51898
26117,41205
26119,34336
26121,40580
26123,43060
26125,63511
26127,38233
26129,33769
26131,34501
26133,36023
26135,33046
26137,48242
26139,55158
26141,38019
26143,34536
26145,40421
26147,44994
26149,40693
26151,39315
26153,37795
26155,42893
26157,42165
26159,44119
26161,56618
26163,39461
26165,36514
27001,38871
27003,67811
27005,47356
27007,42655
27009,52308
27011,44210
27013,48788
27015,48348
27017,50049
27019,85064
27021,43491
27023,49545
27025,65617
27027,51954
27029,40704
27031,46621
27033,44449
27035,47061
27037,71574
27039,65548
27041,53096
27043,42833
27045,49370
27047,44988
27049,56875
27051,47616
27053,62500
27055,50523
27057,44140
27059,58318
27061,43504
27063,52892
27065,44229
27067,48993
27069,44299
27071,43762
27073,50963
27075,49369
27077,41084
27079,58326
27081,43959
27083,48753
27085,54231
27087,37754
27089,52791
27091,47212
27093,50174
27095,45101
27097,48387
27099,46315
27101,50353
27103,58882
27105,47713
27107,45043
27109,64385
27111,50645
27113,46483
27115,45943
27117,47143
27119,47679
27121,50692
27123,53707
27125,45228
27127,48775
27129,50502
27131,59332
27133,51766
27135,53261
27137,46601
27139,86324
27141,69865
27143,53732
27145,53986
27147,56940
27149,50832
27151,48660
27153,46765
27155,45907
27157,55686
27159,37577
27161,52927
27163,80647
27165,47115
27167,51940
27169,49753
27171,72216
27173,53266
28001,29940
28003,35583
28005,32724
28007,33679
28009,29037
28011,28832
28013,31353
28015,36906
28017,31601
28019,32814
28021,26152
28023,33749
28025,30057
28027,25662
28029,31147
28031,32932
28033,55011
28035,32210
28037,31287
28039,46194
28041,37234
28043,32677
28045,41308
28047,40782
28049,34786
28051,22535
28053,22945
28055,28886
28057,36308
28059,45993
28061,31861
28063,24437
28065,27098
28067,35322
28069,29162
28071,40696
28073,48057
28075,35874
28077,35342
28079,30062
28081,41371
28083,25075
28085,35653
28087,36626
28089,60387
28091,31334
28093,33423
28095,36089
28097,29863
28099,34881
28101,33333
28103,26021
28105,32132
28107,33489
28109,36001
28111,33667
28113,32196
28115,39710
28117,33705
28119,24117
28121,56101
28123,32989
28125,26139
28127,34538
28129,34678
28131,41097
28133,25272
28135,27121
28137,40811
28139,34142
28141,34223
28143,30200
28145,40337
28147,28920
28149,38911
28151,28444
28153,33140
28155,35278
28157,26894
28159,32128
28161,32164
28163,28499
29001,32870
29003,55638
29005,45187
29007,38570
29009,34712
29011,37460
29013,39382
29015,32409
29017,37664
29019,45885
29021,41774
29023,34414
29025,40814
29027,44391
29029,41858
29031,45979
29033,41139
29035,29156
29037,56402
29039,32077
29041,41066
29043,52413
29045,38650
29047,58151
29049,55392
29051,51555
29053,42857
29055,34840
29057,34416
29059,33997
29061,39549
29063,42004
29065,33413
29067,30550
29069,29976
29071,45061
29073,40723
29075,38661
29077,40570
29079,35256
29081,37053
29083,41189
29085,30163
29087,40036
29089,37742
29091,32492
29093,34913
29095,44634
29097,37743
29099,53013
29101,44742
29103,33164
29105,36670
29107,46765
29109,35385
29111,41204
29113,53542
29115,36602
29117,39399
29119,32618
29121,36801
29123,33280
29125,41258
29127,40726
29129,38007
29131,36070
29133,28412
29135,42684
29137,39286
29139,39493
29141,33618
29143,34544
29145,41623
29147,40296
29149,28146
29151,49989
29153,31430
29155,30295
29157,47227
29159,37255
29161,38999
29163,38919
29165,67299
29167,37677
29169,46579
29171,35217
29173,47429
29175,38882
29177,48680
29179,30093
29181,29942
29183,70456
29185,31503
29186,48977
29187,35883
29189,56409
29195,38788
29197,31833
29199,35365
29201,38105
29203,27750
29205,38301
29207,38194
29209,39726
29211,37056
29213,35613
29215,32116
29217,38242
29219,49068
29221,33397
29223,30729
29225,42285
29227,35127
29229,30349
29510,32084
30001,38381
30003,36322
30005,36250
30007,45833
30009,43641
30011,35707
30013,42192
30015,39833
30017,41059
30019,47421
30021,47120
30023,36125
30025,50108
30027,40114
30029,45742
30031,51394
30033,34414
30035,34508
30037,33550
30039,39713
30041,41194
30043,59105
30045,38878
30047,33021
30049,54096
30051,35414
30053,34764
30055,38345
30057,41367
30059,32643
30061,33935
30063,44320
30065,39474
30067,40399
30069,33613
30071,38913
30073,37441
30075,40396
30077,37323
30079,35991
30081,38445
30083,56492
30085,34278
30087,49212
30089,33598
30091,47842
30093,39835
30095,54994
30097,43193
30099,41236
30101,42057
30103,43082
30105,41694
30107,30385
30109,38892
30111,49405
31001,46902
31003,45135
31005,37847
31007,46509
31009,36945
31011,50722
31013,53635
31015,37835
31017,38907
31019,51959
31021,46553
31023,49880
31025,59962
31027,52102
31029,47787
31031,42043
31033,50466
31035,48370
31037,47756
31039,48122
31041,43425
31043,46582
31045,38196
31047,46818
31049,42152
31051,46124
31053,47367
31055,51189
31057,40294
31059,48438
31061,43406
31063,47799
31065,42517
31067,45588
31069,38142
31071,37292
31073,50931
31075,44298
31077,40744
31079,46641
31081,58433
31083,43882
31085,43003
31087,42059
31089,43861
31091,39140
31093,50518
31095,42186
31097,42970
31099,55422
31101,41303
31103,39179
31105,42545
31107,45180
31109,50478
31111,48141
31113,49227
31115,39143
31117,41244
31119,45822
31121,47236
31123,43513
31125,44501
31127,45033
31129,41892
31131,50907
31133,39684
31135,52339
31137,50879
31139,50194
31141,55607
31143,54850
31145,44591
31147,39760
31149,40764
31151,48762
31153,68118
31155,59831
31157,43554
31159,60642
31161,44613
31163,42043
31165,45099
31167,54152
31169,45023
31171,39612
31173,40266
31175,41737
31177,63817
31179,47240
31181,40250
31183,39980
31185,50110
32001,49463
32003,49583
32005,60869
32007,68759
32009,40517
32011,62864
32013,63772
32015,67424
32017,43617
32019,48035
32021,40308
32023,41426
32027,45192
32029,53471
32031,49449
32033,50417
32510,48227
33001,55033
33003,50495
33005,54819
33007,40162
33009,52532
33011,68150
33013,59186
33015,76285
33017,53575
33019,57444
34001,50881
34003,82001
34005,74285
34007,58572
34009,55175
34011,46491
34013,51019
34015,72248
34017,56087
34019,103301
34021,67662
34023,77044
34025,81190
34027,95236
34029,59022
34031,58073
34033,57939
34035,95574
34037,85036
34039,64698
34041,70560
35001,46200
35003,30257
35005,38008
35006,34783
35007,36620
35009,39472
35011,30895
35013,37230
35015,48001
35017,35842
35019,29659
35021,35249
35023,33230
35025,48028
35027,38896
35028,112115
35029,27852
35031,29821
35033,26455
35035,38764
35037,30557
35039,36900
35041,34781
35043,57376
35045,45901
35047,31285
35049,50716
35051,28029
35053,32809
35055,29637
35057,32952
35059,33570
35061,40159
36001,57951
36003,41623
36005,32510
36007,44709
36009,42822
36011,49412
36013,41194
36015,45193
36017,42747
36019,49198
36021,52891
36023,45781
36025,41195
36027,66677
36029,50370
36031,45676
36033,44697
36035,43918
36037,50476
36039,45773
36041,44957
36043,45137
36045,46008
36047,44850
36049,46952
36051,52549
36053,48220
36055,50811
36057,41034
36059,92543
36061,66739
36063,47548
36065,45973
36067,52362
36069,52774
36071,65761
36073,45329
36075,46487
36077,47318
36079,92950
36081,54373
36083,59237
36085,70295
36087,81517
36089,41640
36091,66677
36093,54654
36095,47581
36097,46983
36099,47297
36101,46110
36103,85717
36105,46102
36107,56891
36109,49159
36111,56832
36113,52692
36115,49964
36117,48991
36119,77166
36121,48470
36123,43789
37001,41394
37003,39655
37005,34046
37007,32339
37009,34080
37011,34727
37013,38256
37015,30414
37017,32766
37019,48624
37021,43146
37023,38581
37025,55531
37027,35127
37029,53563
37031,48930
37033,39615
37035,42080
37037,55371
37039,31370
37041,37458
37043,36871
37045,38265
37047,33765
37049,47087
37051,45110
37053,54822
37055,51900
37057,43824
37059,49984
37061,36075
37063,50889
37065,32002
37067,43049
37069,42346
37071,41614
37073,44273
37075,32883
37077,46303
37079,35050
37081,43299
37083,31253
37085,44998
37087,40022
37089,45168
37091,31861
37093,44717
37095,35301
37097,49666
37099,37049
37101,48773
37103,35159
37105,43424
37107,35634
37109,47799
37111,36584
37113,36438
37115,37644
37117,33159
37119,55392
37121,36210
37123,35272
37125,49670
37127,40937
37129,50890
37131,31217
37133,44263
37135,53026
37137,41004
37139,43935
37141,43318
37143,42494
37145,42546
37147,39343
37149,41719
37151,41815
37153,30726
37155,29965
37157,37577
37159,40400
37161,34193
37163,37420
37165,31704
37167,42816
37169,42272
37171,36934
37173,36280
37175,40642
37177,30728
37179,61260
37181,34371
37183,64107
37185,33068
37187,32545
37189,38563
37191,38776
37193,35362
37195,37440
37197,40012
37199,36019
38001,45829
38003,50820
38005,36435
38007,65346
38009,50756
38011,56238
38013,53347
38015,62104
38017,51995
38019,56685
38021,50978
38023,53885
38025,62424
38027,42908
38029,42018
38031,49499
38033,44583
38035,44376
38037,38524
38039,45679
38041,48179
38043,40749
38045,55359
38047,45334
38049,44266
38051,40068
38053,67995
38055,52584
38057,64477
38059,54909
38061,59583
38063,46292
38065,60116
38067,48649
38069,43499
38071,50457
38073,51628
38075,55232
38077,55420
38079,36158
38081,56119
38083,39505
38085,31337
38087,52645
38089,63886
38091,57257
38093,46485
38095,52033
38097,51218
38099,47425
38101,56647
38103,48422
38105,79265
39001,34955
39003,42173
39005,44748
39007,37811
39009,33950
39011,51769
39013,42176
39015,44209
39017,55599
39019,42540
39021,48826
39023,40783
39025,54179
39027,42640
39029,42782
39031,42035
39033,40493
39035,41954
39037,44554
39039,46382
39041,87470
39043,46307
39045,58884
39047,42100
39049,50053
39051,50658
39053,38397
39055,69214
39057,54038
39059,38353
39061,46952
39063,49866
39065,42023
39067,39801
39069,51036
39071,38847
39073,38927
39075,43624
39077,46303
39079,37020
39081,40114
39083,44133
39085,55149
39087,38790
39089,52678
39091,45397
39093,49758
39095,40759
39097,53445
39099,39982
39101,43315
39103,65670
39105,34978
39107,52060
39109,52622
39111,42902
39113,42859
39115,35748
39117,50904
39119,39814
39121,40405
39123,51216
39125,44453
39127,40590
39129,54540
39131,36819
39133,52249
39135,46298
39137,57079
39139,41772
39141,43285
39143,46274
39145,36379
39147,43899
39149,53390
39151,45626
39153,48836
39155,41253
39157,43546
39159,63378
39161,45024
39163,36432
39165,73598
39167,41747
39169,47859
39171,42418
39173,50534
39175,46327
40001,31544
40003,43892
40005,36614
40007,52134
40009,50342
40011,40797
40013,37157
40015,34246
40017,62984
40019,45787
40021,35482
40023,30115
40025,39376
40027,54036
40029,33185
40031,44726
40033,38044
40035,37586
40037,44130
40039,44842
40041,36765
40043,45763
40045,49545
40047,45370
40049,37980
40051,47619
40053,45138
40055,33761
40057,28570
40059,47375
40061,32746
40063,30949
40065,40024
40067,31684
40069,36135
40071,39591
40073,53332
40075,36329
40077,35649
40079,32778
40081,44149
40083,51642
40085,43083
40087,54495
40089,30712
40091,33031
40093,49718
40095,36096
40097,38724
40099,42510
40101,37103
40103,43922
40105,38497
40107,31556
40109,43623
40111,38216
40113,44528
40115,34581
40117,44198
40119,37874
40121,40080
40123,37492
40125,42255
40127,30604
40129,49443
40131,56547
40133,33940
40135,34195
40137,43405
40139,45199
40141,32382
40143,47371
40145,54839
40147,48851
40149,43590
40151,49416
40153,49070
41001,37025
41003,51890
41005,64231
41007,43202
41009,53250
41011,36057
41013,41232
41015,34854
41017,48591
41019,39399
41021,49735
41023,37177
41025,35848
41027,53023
41029,44392
41031,41426
41033,35109
41035,38193
41037,38668
41039,41123
41041,39738
41043,43837
41045,33994
41047,45631
41049,50246
41051,51580
41053,49636
41055,52251
41057,43558
41059,46725
41061,41504
41063,40554
41065,41324
41067,63566
41069,33973
41071,49656
42001,57919
42003,50831
42005,41796
42007,46933
42009,42055
42011,52058
42013,41154
42015,47475
42017,75378
42019,57346
42021,39724
42023,39346
42025,48313
42027,50088
42029,82456
42031,41538
42033,41519
42035,41949
42037,45038
42039,41756
42041,57982
42043,52096
42045,60900
42047,48703
42049,45935
42051,38740
42053,34693
42055,51890
42057,46848
42059,42819
42061,43456
42063,42614
42065,40876
42067,42261
42069,43002
42071,54748
42073,43346
42075,51490
42077,53457
42079,42244
42081,45306
42083,40621
42085,41889
42087,38220
42089,55492
42091,76924
42093,52625
42095,55483
42097,40814
42099,55287
42101,35518
42103,55159
42105,42097
42107,44430
42109,45746
42111,44184
42113,39396
42115,44632
42117,43719
42119,49327
42121,38351
42123,44466
42125,53545
42127,44265
42129,49642
42131,47497
42133,55646
44001,64572
44003,59682
44005,63434
44007,47601
44009,69150
45001,35456
45003,45699
45005,25633
45007,39905
45009,30170
45011,32042
45013,54139
45015,49872
45017,42006
45019,48200
45021,37135
45023,33718
45025,31936
45027,30519
45029,33208
