fips_code,population_density
08015,17.642537075576055
08017,1.1781073354192486
08019,22.92100489086019
08021,6.401318635907816
08023,2.8982388879108556
08025,7.298509945759638
08027,5.697072262650194
08029,26.890241232870714
08031,3950.0392156862745
08033,1.692515165629384
08035,341.42657881958655
08037,30.78009889998991
08039,12.458080003371428
08041,292.8416904073301
08043,30.661392710564698
08045,19.110702638077626
08047,35.74478304958104
08049,7.911911738421626
08051,4.749776172393566
08053,0.707092676578495
08055,4.230041338754658
08057,0.8656999993183465
08059,701.5040407847077
08061,0.7879997759885776
08063,3.799480012698871
08065,19.55899403307412
08067,30.40226277984821
08069,115.89744537947198
08071,3.223561141431885
08073,2.111632952181581
08075,12.260225058157339
08077,44.026177434849295
08079,0.801675524686353
08081,2.8560345245599574
08083,12.527056796977817
08085,18.295216439542195
